feature_16,feature_9,feature_17,feature_3,feature_2,feature_20,feature_1,feature_59,feature_55,feature_11,feature_4,feature_7,feature_23,feature_66,feature_21,feature_8,feature_6,feature_14,feature_10,feature_13,feature_19,feature_5,feature_22
1.0,1,0.0,1,0,1.0,0,0.0,0.435601,0,20,0,0.333333,0.054861,0.666667,3,40,0,0,0,0.0,3,0.333333
1.0,0,0.0,1,0,1.0,0,0.0,0.0,0,20,0,0.333333,0.853441,0.666667,3,40,0,0,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,0.0,0.423206,0,20,0,0.333333,0.8578,0.666667,3,40,0,0,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,1.0,0.0,1,20,0,0.333333,0.0,0.666667,3,40,0,1,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,1.0,0.649147,1,20,0,0.333333,0.0,0.666667,3,40,0,1,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,1.0,0.467685,1,20,0,0.333333,0.053813,0.666667,3,40,0,0,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,1.0,0.563912,1,20,0,0.333333,0.85595,0.666667,3,40,0,1,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,0.0,0.443774,0,20,0,0.333333,0.024304,0.666667,3,40,0,1,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,0.0,0.5657770000000001,0,20,0,0.333333,0.910939,0.666667,3,40,0,0,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,1.0,0.476641,1,20,0,0.333333,0.773907,0.666667,3,40,0,0,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,0.0,0.6765680000000001,0,20,0,0.333333,0.7038800000000001,0.666667,3,40,0,1,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,0.0,0.0,0,20,0,0.333333,0.363975,0.666667,3,40,0,0,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,1.0,0.440105,1,20,0,0.333333,0.186649,0.666667,3,40,0,0,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,1.0,0.766986,1,20,0,0.333333,0.0662929999999999,0.666667,3,40,0,0,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,0.0,0.0,0,20,0,0.333333,0.060627,0.666667,3,40,0,1,0,0.0,3,0.333333
1.0,1,0.0,1,0,1.0,0,1.0,0.0,1,20,0,0.333333,0.0,0.666667,3,40,0,0,0,0.0,3,0.333333
0.0,1,0.0,0,0,0.0,0,0.0,0.5519189999999999,0,9,0,0.0,0.290569,0.0,0,34,0,0,0,0.0,4,0.0
0.0,0,0.0,0,0,0.0,0,0.0,0.894059,0,9,0,0.0,0.018219,0.0,0,34,0,0,0,0.0,4,0.0
0.0,1,0.0,0,0,0.0,0,0.0,0.614861,0,9,0,0.0,0.027968,0.0,0,34,0,0,0,0.0,4,0.0
0.0,1,0.0,0,0,0.0,0,0.0,1.0,0,9,0,0.0,0.201993,0.0,0,34,0,0,0,0.0,4,0.0
0.0,1,0.0,0,0,0.0,0,0.0,0.975915,0,9,0,0.0,0.141065,0.0,0,34,0,0,0,0.0,4,0.0
0.0,1,0.0,0,0,0.0,0,0.0,0.770361,0,9,0,0.0,0.097755,0.0,0,34,0,0,0,0.0,4,0.0
0.0,1,0.0,0,0,0.0,0,0.0,0.7801,0,9,0,0.0,0.594975,0.0,0,34,0,0,0,0.0,4,0.0
0.0,1,0.0,0,0,0.0,0,0.0,0.731067,0,9,0,0.0,0.002532,0.0,0,34,0,0,0,0.0,4,0.0
0.0,1,0.0,0,0,0.0,0,0.0,0.469898,0,9,0,0.0,0.078132,0.0,0,34,0,0,0,0.0,4,0.0
0.0,1,0.0,0,0,0.0,0,0.0,0.8983059999999999,0,9,0,0.0,0.207342,0.0,0,34,0,0,0,0.0,4,0.0
0.0,0,0.0,0,0,0.0,0,0.0,0.781891,0,9,0,0.0,0.119926,0.0,0,34,0,0,0,0.0,4,0.0
0.0,1,0.0,0,0,0.0,0,0.0,0.565403,0,9,0,0.0,0.071471,0.0,0,34,0,0,0,0.0,4,0.0
0.0,1,0.0,0,0,0.0,0,0.0,0.636223,0,9,0,0.0,0.795048,0.0,0,34,0,0,0,0.0,4,0.0
1.0,1,0.0,1,0,1.0,0,1.0,0.955001,1,20,0,0.625,0.0,0.25,0,25,1,0,1,1.0,4,0.75
1.0,1,0.0,1,0,1.0,0,1.0,0.0,1,20,0,0.625,0.4077159999999999,0.25,0,25,1,1,1,1.0,4,0.75
1.0,1,0.0,1,0,1.0,0,1.0,0.956242,1,20,0,0.625,0.0,0.25,0,25,1,0,0,1.0,4,0.75
1.0,1,0.0,1,0,1.0,0,1.0,0.5952729999999999,1,20,0,0.625,0.954722,0.25,0,25,1,0,1,1.0,4,0.75
1.0,1,0.0,1,0,1.0,0,1.0,0.0,1,20,0,0.625,0.0,0.25,0,25,1,0,0,1.0,4,0.75
1.0,1,0.0,1,0,1.0,0,1.0,0.0,1,20,0,0.625,0.030637,0.25,0,25,1,0,1,1.0,4,0.75
1.0,1,0.0,1,0,1.0,0,1.0,0.0,1,20,0,0.625,0.857691,0.25,0,25,1,0,1,1.0,4,0.75
1.0,1,0.0,1,0,1.0,0,1.0,0.0,1,20,0,0.625,0.0,0.25,0,25,1,0,0,1.0,4,0.75
1.0,1,0.0,1,0,1.0,0,0.0,0.0,0,20,0,0.625,0.0,0.25,0,25,1,0,1,1.0,4,0.75
1.0,1,0.0,1,0,1.0,0,1.0,0.439179,1,20,0,0.625,0.0,0.25,0,25,1,1,0,1.0,4,0.75
